mesh,kernel,density,min_error,gamma_at_min
buddha,exp_inversion,10000.0,9.0,0.0002915053062825
buddha,spherical_flip,10000.0,9.2,0.0003430469286314
buddha,exp_inversion,1000.0,12.6,0.001261856883066
buddha,spherical_flip,1000.0,14.499999999999998,0.0033516026509388
buddha,exp_inversion,20000.0,7.630000000000001,0.0001519911082952
buddha,spherical_flip,20000.0,7.664999999999999,0.0001519911082952
buddha,exp_inversion,5000.0,10.22,0.0006579332246575
buddha,spherical_flip,5000.0,10.06,0.0006579332246575
bunny,exp_inversion,10000.0,3.39,0.0009111627561154
bunny,spherical_flip,10000.0,3.17,0.0009111627561154
bunny,exp_inversion,1000.0,6.2,0.0039442060594376
bunny,spherical_flip,1000.0,6.2,0.0046415888336127
bunny,exp_inversion,20000.0,2.895,0.0004750810162102
bunny,spherical_flip,20000.0,2.91,0.0006579332246575
bunny,exp_inversion,5000.0,3.7,0.0014849682622544
bunny,spherical_flip,5000.0,3.88,0.0020565123083486
dragon,exp_inversion,10000.0,6.460000000000001,0.0002104904144512
dragon,spherical_flip,10000.0,6.710000000000001,0.0002477076355991
dragon,exp_inversion,1000.0,11.7,0.0009111627561154
dragon,spherical_flip,1000.0,10.6,0.0010722672220103
dragon,exp_inversion,20000.0,5.43,0.0001097498765493
dragon,spherical_flip,20000.0,5.375,0.0001519911082952
dragon,exp_inversion,5000.0,7.46,0.0004750810162102
dragon,spherical_flip,5000.0,8.16,0.0003430469286314
erato,exp_inversion,10000.0,5.24,0.0628029144183424
erato,spherical_flip,10000.0,5.62,0.7220809018385457
erato,exp_inversion,1000.0,5.9,0.271858824273294
erato,spherical_flip,1000.0,7.199999999999999,0.8497534359086438
erato,exp_inversion,20000.0,4.66,0.0123284673944206
erato,spherical_flip,20000.0,5.53,0.6135907273413164
erato,exp_inversion,5000.0,5.82,0.1963040650040268
erato,spherical_flip,5000.0,5.7,0.8497534359086438
hairball,exp_inversion,10000.0,2.06,0.271858824273294
hairball,spherical_flip,10000.0,2.16,1.0
hairball,exp_inversion,1000.0,2.7,0.7220809018385457
hairball,spherical_flip,1000.0,4.1000000000000005,0.7220809018385457
hairball,exp_inversion,20000.0,1.9,0.8497534359086438
hairball,spherical_flip,20000.0,1.865,1.0
hairball,exp_inversion,5000.0,1.7399999999999998,0.7220809018385457
hairball,spherical_flip,5000.0,1.92,0.8497534359086438
