mesh,kernel,relative_distance,min_error,gamma_at_min
buddha,exp_inversion,0.5,4.78,0.0046415888336127
buddha,spherical_flip,0.5,4.61,0.0064280731172843
buddha,exp_inversion,1.0,5.779999999999999,0.0017475284000076
buddha,spherical_flip,1.0,5.58,0.0020565123083486
buddha,exp_inversion,2.0,6.710000000000001,0.0006579332246575
buddha,spherical_flip,2.0,7.04,0.0007742636826811
buddha,exp_inversion,5.0,8.64,0.0002104904144512
buddha,spherical_flip,5.0,9.17,0.0001788649529057
bunny,exp_inversion,0.5,2.53,0.0028480358684357
bunny,spherical_flip,0.5,2.43,0.0054622772176843
bunny,exp_inversion,1.0,2.95,0.0007742636826811
bunny,spherical_flip,1.0,2.98,0.001261856883066
bunny,exp_inversion,2.0,2.6100000000000003,0.0004750810162102
bunny,spherical_flip,2.0,2.77,0.0006579332246575
bunny,exp_inversion,5.0,3.0,0.0002104904144512
bunny,spherical_flip,5.0,3.12,0.0002104904144512
dragon,exp_inversion,0.5,5.88,0.0028480358684357
dragon,spherical_flip,0.5,6.05,0.0145082877849594
dragon,exp_inversion,1.0,6.52,0.0010722672220103
dragon,spherical_flip,1.0,6.9,0.0020565123083486
dragon,exp_inversion,2.0,6.3100000000000005,0.0004037017258596
dragon,spherical_flip,2.0,6.38,0.0005590810182512
dragon,exp_inversion,5.0,6.29,0.0001519911082952
dragon,spherical_flip,5.0,6.19,0.0001291549665014
erato,exp_inversion,0.5,7.090000000000001,0.0020565123083486
erato,spherical_flip,0.5,7.19,0.0033516026509388
erato,exp_inversion,1.0,7.76,0.0009111627561154
erato,spherical_flip,1.0,7.939999999999999,0.001261856883066
erato,exp_inversion,2.0,8.95,0.0006579332246575
erato,spherical_flip,2.0,9.32,0.0007742636826811
erato,exp_inversion,5.0,17.54,0.0020565123083486
erato,spherical_flip,5.0,18.92,0.0007742636826811
hairball,exp_inversion,0.5,4.69,0.3764935806792464
hairball,spherical_flip,0.5,4.38,0.5214008287999684
hairball,exp_inversion,1.0,6.370000000000001,0.271858824273294
hairball,spherical_flip,1.0,6.49,0.8497534359086438
hairball,exp_inversion,2.0,7.56,0.053366992312063
hairball,spherical_flip,2.0,7.86,0.3764935806792464
hairball,exp_inversion,5.0,7.55,0.0869749002617783
hairball,spherical_flip,5.0,7.8,0.1417474162926804
